hisse,fark,adet2,tks2,tip,donem,yukleme
UNTAR,0,1,29562129,yabanci,2026_01,2026-04-18 13:52
UZEL,0,3248483,26329793,yabanci,2026_01,2026-04-18 13:52
GLDTRF,0,884,48100000,yabanci,2026_01,2026-04-18 13:52
ENPRA,0,70,15294299,yabanci,2026_01,2026-04-18 13:52
KRATL,0,5403,17800000,yabanci,2026_01,2026-04-18 13:52
SANEL,0,1,18112451,yabanci,2026_01,2026-04-18 13:52
AKYHO,0,2,223895870,yabanci,2026_01,2026-04-18 13:52
BYDNR,0,474040,20499984,yabanci,2026_01,2026-04-18 13:52
ISBIR,0,3825,14500244,yabanci,2026_01,2026-04-18 13:52
YGYO,0,19379986,1310632851,yabanci,2026_01,2026-04-18 13:52
ARAT,0,600000,39867975,yabanci,2026_01,2026-04-18 13:52
SEYKM,0,1,151040901,yabanci,2026_01,2026-04-18 13:52
SILVR,0,9,212818206,yabanci,2026_01,2026-04-18 13:52
GOLDS,0,222541,192323946,yabanci,2026_01,2026-04-18 13:52
KSTUR,0,842,3952561,yabanci,2026_01,2026-04-18 13:52
CELHA,0,0,146078935,yabanci,2026_01,2026-04-18 13:52
SKYLP,0,0,7159255,yabanci,2026_01,2026-04-18 13:52
ERSU,0,0,31755894,yabanci,2026_01,2026-04-18 13:52
SNPAM,0,1,19679871,yabanci,2026_01,2026-04-18 13:52
GRNYO,0,130436,37386059,yabanci,2026_01,2026-04-18 13:52
BRMEN,0,119040,57566555,yabanci,2026_01,2026-04-18 13:52
ORCAY,-1,0,149972352,yabanci,2026_01,2026-04-18 13:52
DENGE,-1,5456,525284797,yabanci,2026_01,2026-04-18 13:52
FLAP,-1,1,93599986,yabanci,2026_01,2026-04-18 13:52
KARTN,-178,1269355,72781126,yabanci,2026_01,2026-04-18 13:52
YGGYO,-311,11181550,240625741,yabanci,2026_01,2026-04-18 13:52
TARKM,-357,2142,4999885,yabanci,2026_01,2026-04-18 13:52
MRSHL,-671,185,4212888,yabanci,2026_01,2026-04-18 13:52
DOGUB,-792,87,19821566,yabanci,2026_01,2026-04-18 13:52
ALCAR,-878,28227,1721735,yabanci,2026_01,2026-04-18 13:52
KONYA,-1000,51258,1646416,yabanci,2026_01,2026-04-18 13:52
SMART,-1126,94374,29737499,yabanci,2026_01,2026-04-18 13:52
TRHOL,-1710,13844,17635692,yabanci,2026_01,2026-04-18 13:52
MAKTK,-1868,50696,184370066,yabanci,2026_01,2026-04-18 13:52
TSGYO,-3395,2947,266499982,yabanci,2026_01,2026-04-18 13:52
YAPRK,-4137,392,4214998,yabanci,2026_01,2026-04-18 13:52
ACSEL,-5398,335,8589113,yabanci,2026_01,2026-04-18 13:52
BANVT,-5420,1,36961044,yabanci,2026_01,2026-04-18 13:52
KUTPO,-7108,87880,10524430,yabanci,2026_01,2026-04-18 13:52
CLEBI,-7725,224748,5490178,yabanci,2026_01,2026-04-18 13:52
PLTUR,-7838,368533,49500000,yabanci,2026_01,2026-04-18 13:52
BRKVY,-10195,20220,13618361,yabanci,2026_01,2026-04-18 13:52
OTTO,-10514,2593,5474438,yabanci,2026_01,2026-04-18 13:52
TBORG,-10790,157239,59392160,yabanci,2026_01,2026-04-18 13:52
ERCB,-11569,13294,39113273,yabanci,2026_01,2026-04-18 13:52
